rep_id,rep_nm,rep_contents,rep_state,rep_addr,rep_lat,rep_lon,rep_date,rep_detail_addr
1,GS25,마포구,0,서울특별시 마포구 성산동 260-39,37.559499,126.907229,2018-04-29,상세주소1
2,GS25,마포구,0,서울특별시 마포구 도화동 344,37.540322,126.948562,2018-04-29,상세주소2
3,GS25,마포구,0,"서울특별시 마포구 상암동 1752상암월드컵파크9단지104,5호",37.583477,126.878551,2018-04-29,상세주소3
4,GS25,마포구,0,서울특별시 마포구 동교동 154-1,37.55903,126.924825,2018-04-29,상세주소4
5,GS25,마포구,0,서울특별시 마포구 연남동 257-23,37.561863,126.923245,2018-04-29,상세주소5
6,GS25,마포구,0,서울특별시 마포구 월드컵북로6길 69(연남동 567-11),37.559695,126.921725,2018-04-29,상세주소6
7,GS25,마포구,0,서울특별시 마포구 동교로17안길 51 (서교동 448-25),37.556496,126.918738,2018-04-29,상세주소7
8,CU,마포구,0,서울특별시 마포구 서교동 459-1번지,37.555717,126.915309,2018-04-29,상세주소8
9,CU,마포구,1,서울특별시 마포구 망원동 462-14번지,37.555663,126.897767,2018-04-29,상세주소9
10,CU,마포구,0,서울특별시 마포구 망원동 431-43번지,37.55864,126.900168,2018-04-29,상세주소10
11,CU,마포구,0,서울특별시 마포구 합정동 395-1번지,37.550136,126.90809,2018-04-29,상세주소11
12,CU,마포구,1,서울특별시 마포구 서교동 370-18번지,37.552456,126.919283,2018-04-29,상세주소12
13,CU,마포구,0,서울특별시 마포구 서교동 328-13번지,37.554995,126.928968,2018-04-29,상세주소13
14,CU,마포구,1,서울특별시 마포구 합정동 412-8번지,37.548433,126.917825,2018-04-29,상세주소14
15,CU,마포구,0,서울특별시 마포구 노고산동 56-74번지,37.553922,126.933907,2018-04-29,상세주소15
16,CU,마포구,1,서울특별시 마포구 염리동 155-11번지,37.546943,126.944372,2018-04-29,상세주소16
17,CU,마포구,0,서울특별시 마포구 월드컵로 36길 18 삼라마이다스 101호,37.566248,126.903395,2018-04-29,상세주소17
18,CU,마포구,0,서울특별시 마포구 망원로 95,37.557904,126.907252,2018-04-29,상세주소18
19,CU,마포구,0,서울특별시 마포구 월드컵로 83 (망원동),37.556169,126.909621,2018-04-29,상세주소19
20,CU,마포구,0,서울특별시 마포구 월드컵로 139 (망원동),37.560216,126.905894,2018-04-29,상세주소20
21,CU,마포구,0,서울특별시 마포구 월드컵북로 381 (상암동) 111,37.578042,126.889863,2018-04-29,상세주소21
22,CU,마포구,0,"서울특별시 마포구 성암로3길 14,1층(중동)",37.568896,126.91111,2018-04-29,상세주소22
23,CU,마포구,1,서울특별시 마포구 양화로 133,37.555183,126.920953,2018-04-29,상세주소23
24,CU,마포구,1,서울특별시 마포구 마포대로 11길 50,37.550211,126.951162,2018-04-29,상세주소24
25,미니스톱,마포구,1,서울특별시 마포구 상암동(상암동) 482-250,37.565828,126.875963,2018-04-29,상세주소25
26,미니스톱,마포구,1,서울특별시 마포구 상암동(상암동) 487-332,37.559775,126.887565,2018-04-29,상세주소26
27,세븐일레븐,마포구,1,서울특별시 마포구 노고산동 31-21,37.55451,126.937147,2018-04-29,상세주소27
28,세븐일레븐,마포구,1,서울특별시 마포구 서교동 407-3,37.550226,126.922824,2018-04-29,상세주소28
29,세븐일레븐,마포구,1,"서울특별시 마포구 서교동 401-10, 8",37.548479,126.91891,2018-04-29,상세주소29
30,세븐일레븐,마포구,1,"서울특별시 마포구 서교동 401-10, 8",37.548479,126.91891,2018-04-29,상세주소30
31,세븐일레븐,마포구,0,서울특별시 마포구 연남동 252-1,37.563593,126.922269,2018-04-29,상세주소31
32,세븐일레븐,마포구,0,서울특별시 마포구 당인동 12-1,37.547433,126.919899,2018-04-29,상세주소32
33,세븐일레븐,마포구,0,서울특별시 마포구 서교동 394,37.549726,126.914929,2018-04-29,상세주소33
34,세븐일레븐,마포구,0,서울특별시 마포구 서교동 394-67 삼양빌딩 1층,37.550091,126.915945,2018-04-29,상세주소34
35,세븐일레븐,마포구,2,서울특별시 마포구 도화동 563 마포아크로타워 101,37.541262,126.948967,2018-04-29,상세주소35
36,세븐일레븐,마포구,2,서울특별시 마포구 상암동 DMC부지내 A3블록 104,37.582772,126.88531,2018-04-29,상세주소36
37,세븐일레븐,마포구,2,서울특별시 마포구 망원동431-55,37.557564,126.899753,2018-04-29,상세주소37
38,세븐일레븐,마포구,2,서울특별시 마포구 노고산동 49-22,37.555598,126.93394,2018-04-29,상세주소38
39,세븐일레븐,마포구,0,서울특별시 마포구 서교동 351-9 승원빌딩 1층,37.555059,126.920162,2018-04-29,상세주소39
40,세븐일레븐,마포구,3,서울특별시 마포구 서교동 408-7 1층 코너,37.55005,126.921264,2018-04-29,상세주소40
41,세븐일레븐,마포구,3,서울특별시 마포구 상암동1605 누리꿈스퀘어R107,37.57939,126.890398,2018-04-29,상세주소41
42,세븐일레븐,마포구,3,서울특별시 마포구 서교동 381-13,37.55266,126.914108,2018-04-29,상세주소42
